Gmt time,Open,High,Low,Close,% change
01.09.2022 19:00:00.000,155.879,157.407,155.79,156.852,0.624202105
01.09.2022 20:00:00.000,156.849,157.571,156.726,157.56,0.453302221
02.09.2022 14:00:00.000,159.206,159.854,159.136,159.313,0.067208522
02.09.2022 15:00:00.000,159.314,160.365,158.651,159.453,0.08724908
02.09.2022 16:00:00.000,159.475,160.103,159.295,159.76,0.178711397
02.09.2022 17:00:00.000,159.787,159.894,157.214,157.726,-1.289842102
02.09.2022 18:00:00.000,157.701,157.701,155.644,155.679,-1.282173227
02.09.2022 19:00:00.000,155.659,156.557,155.659,155.973,0.201722997
02.09.2022 20:00:00.000,155.956,156.499,154.96,155.803,-0.098104594
06.09.2022 14:00:00.000,156.39,156.7,155.049,155.23,-0.741735405
06.09.2022 15:00:00.000,155.224,156.395,153.722,156.11,0.570788022
06.09.2022 16:00:00.000,156.135,156.525,155.475,156.065,-0.044832997
06.09.2022 17:00:00.000,156.082,156.263,154.642,155.2,-0.565087582
06.09.2022 18:00:00.000,155.205,155.253,153.904,154.514,-0.445217615
06.09.2022 19:00:00.000,154.481,155.093,154.199,154.304,-0.114577197
06.09.2022 20:00:00.000,154.329,155.085,153.986,154.314,-0.009719495
07.09.2022 14:00:00.000,155.223,155.883,155.097,155.309,0.05540416
07.09.2022 15:00:00.000,155.315,155.445,153.611,154.116,-0.771979525
07.09.2022 16:00:00.000,154.108,155.24,153.894,154.744,0.412697589
07.09.2022 17:00:00.000,154.746,155.32,154.228,154.85,0.067206907
07.09.2022 18:00:00.000,154.848,155.7,154.546,155.515,0.430744989
07.09.2022 19:00:00.000,155.53,156.211,154.761,155.737,0.133093294
07.09.2022 20:00:00.000,155.743,156.655,155.655,156.132,0.249770455
08.09.2022 14:00:00.000,154.4,155.82,154.37,155.36,0.621761658
08.09.2022 15:00:00.000,155.355,155.79,154.37,155.79,0.280003862
08.09.2022 16:00:00.000,155.764,156.352,155.372,155.524,-0.154079248
08.09.2022 17:00:00.000,155.521,155.67,152.67,153.173,-1.509763955
08.09.2022 18:00:00.000,153.181,154.11,152.695,153.545,0.237627382
08.09.2022 19:00:00.000,153.54,154.364,153.384,153.8,0.169336981
08.09.2022 20:00:00.000,153.784,154.353,153.489,154.245,0.299771108
09.09.2022 14:00:00.000,155.015,156.063,154.747,156.052,0.668967519
09.09.2022 15:00:00.000,156.065,156.831,155.895,156.647,0.372921539
09.09.2022 16:00:00.000,156.632,157.165,156.456,156.844,0.135349099
09.09.2022 17:00:00.000,156.86,156.924,156.089,156.857,-0.001912533
09.09.2022 18:00:00.000,156.854,157.31,156.702,157.08,0.144083033
09.09.2022 19:00:00.000,157.077,157.516,156.762,157.16,0.052840327
09.09.2022 20:00:00.000,157.152,157.798,157.051,157.585,0.275529424
12.09.2022 14:00:00.000,160.307,161.666,160.077,161.597,0.80470597
12.09.2022 15:00:00.000,161.598,162.031,161.208,161.377,-0.136759118
12.09.2022 16:00:00.000,161.374,162.882,161.216,161.879,0.312937648
12.09.2022 17:00:00.000,161.905,163.136,161.727,163.077,0.723881288
12.09.2022 18:00:00.000,163.074,164.246,162.754,164.117,0.639586936
12.09.2022 19:00:00.000,164.132,164.169,163.275,163.564,-0.346062925
12.09.2022 20:00:00.000,163.566,163.956,163.062,163.238,-0.200530673
13.09.2022 14:00:00.000,159.369,159.866,158.27,158.27,-0.689594589
13.09.2022 15:00:00.000,158.265,158.355,156.836,157.205,-0.66976274
